"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1858804160860483969","Tue Nov 19 09:27:01 +0000 2024","0","emg gini apa gimana si? listrik di jogja akhir akhir ini ga tahan cuaca anjir dah kayak tinggal di pedesaan tertinggal","1858804160860483969","","","in","","0","0","0","https://x.com/Putaranketujuh/status/1858804160860483969","1817905064398422016","Putaranketujuh"
"1858480189996749094","Mon Nov 18 11:59:40 +0000 2024","0","infokan cuaca leh aku meh bali ng makot seko jogja. tengs ","1858480189996749094","","","in","Kirim disini ðŸ‘‰","0","4","0","https://x.com/magelang_fess/status/1858480189996749094","1216751588032708609","magelang_fess"
"1858462628718203161","Mon Nov 18 10:49:53 +0000 2024","0","hari ini kek lemes bgt didukung cuaca jogja seharian hujan jd lah bermalas2an di kamar doang","1858462628718203161","","","in","","0","0","0","https://x.com/whatdefra/status/1858462628718203161","391820156","whatdefra"
"1858459142085865634","Mon Nov 18 10:36:02 +0000 2024","0","bjir lah ak benci bgt cuaca jogja","1858459142085865634","","","in","","0","0","0","https://x.com/firdhahlah/status/1858459142085865634","1207260907320930304","firdhahlah"
"1858458162296176734","Mon Nov 18 10:32:09 +0000 2024","1","Info cuaca Jogja dong bolo","1858458162296176734","","","in","Tutorial Kirim Menfess","0","0","0","https://x.com/jatengmnfs/status/1858458162296176734","808914931110334464","jatengmnfs"
"1858445407975768481","Mon Nov 18 10:05:33 +0000 2024","0","@itsnsunflowers Meriang sebab cuaca berubah-ubah jadi pengaruh Semoga lekas sembuh ..","1858451468925432190","","itsnsunflowers","in","","0","0","0","https://x.com/PijatRealJogja/status/1858451468925432190","1277856339226619904","PijatRealJogja"
"1858441523551219877","Mon Nov 18 09:26:02 +0000 2024","2","Area Jogja terang Magelang Udan Badai. Cen cuaca gak seneng kui ro banner e luthfi pengen digawe kebur","1858441523551219877","","","in","","0","2","0","https://x.com/Haehaaee/status/1858441523551219877","1166705919490588673","Haehaaee"
"1858436303173607771","Mon Nov 18 09:05:17 +0000 2024","28","Jogja kota sedang hujan enaknya ngewe cok cuaca gini tuh. Abis ngewe cuddle sampe bobo. Bangun malem langsung abis itu cari makan malam. Bah enak anjg.","1858436303173607771","","","in","Yogyakak","1","9","3","https://x.com/Melovemeself_/status/1858436303173607771","1693000210719674368","Melovemeself_"
"1858435079694909916","Mon Nov 18 09:00:25 +0000 2024","8","Joh info cuaca area jogja sore ini","1858435079694909916","","","in","SEND MENFESS LEWAT XFESS","0","28","0","https://x.com/jogjamfs/status/1858435079694909916","1106468786016649217","jogjamfs"
"1858423901539401955","Mon Nov 18 08:16:00 +0000 2024","0","cuaca jogja gajelas anjir masa ugm hujan deras di rumahku panas??","1858423901539401955","","","in","certified yapper","0","0","0","https://x.com/disester/status/1858423901539401955","1224506937577881600","disester"
"1858416118177620122","Mon Nov 18 07:45:04 +0000 2024","0","Senin 18 November 2024 Kunjungan Mahasiswa Polbangtan Yogyakarta sebanyak 34 orang untuk belajar alat ukur parameter cuaca/iklim. #kunjungan #BMKG #tamanalatklimatologi #Polbangtan#polbangtan_yogyakarta https://t.co/qmSg8qa1ZT","1858416118177620122","https://pbs.twimg.com/ext_tw_video_thumb/1858416091074084864/pu/img/R8Z7Wnw7WAuh6bmD.jpg","","in","Daerah Istimewa Yogyakarta","0","0","0","https://x.com/staklim_jogja/status/1858416118177620122","1749990551758475265","staklim_jogja"
"1858415990733955238","Mon Nov 18 07:44:34 +0000 2024","0","Prakiraan Cuaca Jateng dan Jatim Hari Ini: Hujan dan Petir Siang Hingga Malam #PrakiraanCuaca #PrakiraanCuacaJateng #PrakiraanCuacaJatim https://t.co/UGPen31aiB","1858415990733955238","","","in","Yogyakarta","0","0","0","https://x.com/republikajogja/status/1858415990733955238","1177104115148578816","republikajogja"
"1858391011401281814","Mon Nov 18 06:05:19 +0000 2024","0","Waspadai Potensi Cuaca Ekstrem di Jateng 18-20 November Terutama di Wilayah Berikut Ini #CuacaEkstrem #CuacaEkstremJateng https://t.co/mQoL63Yg1R","1858391011401281814","","","in","Yogyakarta","0","0","0","https://x.com/republikajogja/status/1858391011401281814","1177104115148578816","republikajogja"
"1858283401155154186","Sun Nov 17 23:49:45 +0000 2024","0","@Arka_1111 Pagiiiii berasa sampe sini ademnya cuaca Jogja ","1858296499245060560","","Arka_1111","in","","0","0","0","https://x.com/pickapikme/status/1858296499245060560","1220606743413018624","pickapikme"
"1858187070059257981","Sun Nov 17 18:21:18 +0000 2024","0","@Macchiatocrml Lu pikir lu doang yg sakit???? Badan gw jg lgi gk enak bjirrr. Cuaca jogja lagi gaje","1858213840414294213","","Macchiatocrml","in","Kik","0","1","0","https://x.com/Ekseruu/status/1858213840414294213","1683453295598379008","Ekseruu"
"1858079835404505090","Sun Nov 17 09:28:48 +0000 2024","0","BRRRR dingin inilah cuaca jogja yg aku sukai","1858079835404505090","","","in","sv ugm '24","1","1","0","https://x.com/tatraces/status/1858079835404505090","1537784427199475712","tatraces"
"1858033601235005936","Sun Nov 17 06:43:18 +0000 2024","0","@overdosisburjo anj bgt emng cuaca jogja","1858038185340920091","","overdosisburjo","in","fairy tale","0","0","0","https://x.com/_txtfromtania_/status/1858038185340920091","1549399206556798982","_txtfromtania_"
"1858028521295122797","Sun Nov 17 06:04:54 +0000 2024","0","Ndes yang sudah pernah berkelana di jogja kira kira tempat mana aja yang perlu dikunjungi ketika liburan dijogja? Dan untuk cuaca di jogja akhir akhir ini bagaimana? Thx ndes","1858028521295122797","","","in","Tutorial Kirim Menfess","0","5","0","https://x.com/SmgMenfess/status/1858028521295122797","966083473","SmgMenfess"
"1858016887017452026","Sun Nov 17 05:18:40 +0000 2024","0","info cuaca jogja?","1858016887017452026","","","in","Fakultas Ilmu Budaya, UGM","0","1","0","https://x.com/panjinu_/status/1858016887017452026","1608196013298421760","panjinu_"
